trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'e': 0.37531109885139957, 'a': 0.01}",25,0,-77.72039618589368,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
100,False,"{'e': 0.3715766910220457, 'a': 0.01}",25,4,-46.5765021792314,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
101,False,"{'e': 0.36787944117144233, 'a': 0.01}",20,0,-36.64772301477195,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
102,False,"{'e': 0.3642189795715233, 'a': 0.01}",30,9,-23.36894541261428,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
103,False,"{'e': 0.3605949401730783, 'a': 0.01}",20,6,-86.80466202447073,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
104,False,"{'e': 0.3570069605691474, 'a': 0.01}",25,10,-2.5225543268322115,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'e': 0.35345468195878016, 'a': 0.01}",30,0,-28.010424788253363,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
106,False,"{'e': 0.3499377491111553, 'a': 0.01}",20,0,-103.861792173466,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
107,False,"{'e': 0.3464558103300574, 'a': 0.01}",20,0,-63.00259129191385,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
108,False,"{'e': 0.34300851741870664, 'a': 0.01}",20,12,2.6899063860295387,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'e': 0.3395955256449391, 'a': 0.01}",20,0,-131.29837105789267,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
110,False,"{'e': 0.33621649370673334, 'a': 0.01}",30,0,-56.84816293326053,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
111,False,"{'e': 0.33287108369807955, 'a': 0.01}",35,19,-34.44537791850486,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
112,False,"{'e': 0.32955896107518906, 'a': 0.01}",30,0,-69.89157500678671,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
113,False,"{'e': 0.32627979462303947, 'a': 0.01}",20,15,-33.92848630615925,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
